strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
756.0,2.26,2.29,2.33,2.275,90.0,0.15869981933593752,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
757.0,2.08,2.12,2.3,2.1,10.0,0.15842516387939454,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
758.0,1.89,1.91,2.26,1.9,112.0,0.15680774841308598,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
759.0,1.67,1.7,1.82,1.685,30.0,0.15479360839843753,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
760.0,1.52,1.55,1.48,1.5350000000000001,216.0,0.15412222839355472,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
761.0,1.35,1.37,1.48,1.36,6.0,0.15216912292480472,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
762.0,1.19,1.22,1.28,1.205,40.0,0.15070429382324224,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
763.0,1.05,1.08,1.35,1.065,67.0,0.1492394647216797,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
764.0,0.93,0.96,0.98,0.9450000000000001,27.0,0.1480798083496094,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
765.0,0.85,0.87,0.83,0.86,163.0,0.14771360107421877,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
766.0,0.73,0.76,0.75,0.745,11.0,0.14612670288085935,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
767.0,0.66,0.68,0.7,0.67,114.0,0.145516357421875,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
768.0,0.59,0.61,0.73,0.6,23.0,0.14515015014648439,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
769.0,0.52,0.54,0.52,0.53,6.0,0.14429566650390624,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
770.0,0.45,0.47,0.55,0.45999999999999996,85.0,0.1431970446777344,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
771.0,0.41,0.42,0.32,0.415,5.0,0.14283083740234376,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
772.0,0.35,0.37,0.42,0.36,5.0,0.14222049194335937,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
773.0,0.32,0.33,0.38,0.325,9.0,0.1419763537597656,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
774.0,0.28,0.29,0.26,0.28500000000000003,3.0,0.14136600830078128,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
775.0,0.25,0.26,0.3,0.255,13.0,0.14136600830078128,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
776.0,0.22,0.23,0.27,0.225,5.0,0.14112187011718752,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
777.0,0.19,0.21,0.21,0.2,59.0,0.141610146484375,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
778.0,0.17,0.18,0.21,0.175,86.0,0.14063359375,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
779.0,0.16,0.17,0.16,0.165,28.0,0.14185428466796873,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
